DUNS Number ,Country,Entity Type,Ownership Type,Employees Total,Revenue (USD),SIC Code,Year Found,Global Ultimate Country Name,Legal Status,Corporate Family Members,Market Value (USD),IT Budget,IT spend,No. of PC,No. of Desktops,No. of Laptops,No. of Routers,No. of Servers,No. of Storage Devices
728904344,CHINA               ,Branch,Private,0,0,5989,2012.0,CHINA               ,3.0,3,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
547783821,CHINA               ,Subsidiary,Private,12,1757318,5093,1998.0,CHINA               ,3.0,129,5974881,52720,32686,5.5,5.5,5.5,5.5,5.5,5.5
547941687,CHINA               ,Parent,Private,90,18874848,2834,1986.0,CHINA               ,3.0,2,84370571,528496,327667,30.5,5.5,5.5,5.5,5.5,5.5
639639563,CHINA               ,Subsidiary,Private,25,1379300,7389,2023.0,CHINA               ,3.0,2,6675812,111723,69268,30.5,5.5,5.5,5.5,5.5,5.5
639580966,CHINA               ,Branch,Private,0,0,273,2023.0,CHINA               ,3.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
728869787,CHINA               ,Parent,Unknown,0,2696301,8741,2014.0,CHINA               ,3.0,2,9086534,218400,135408,5.5,5.5,5.5,0.0,0.0,0.0
728772037,CHINA               ,Branch,Private,2,31284,4231,2009.0,CHINA               ,3.0,13,113248,1189,737,5.5,5.5,5.5,5.5,0.0,0.0
728890714,CHINA               ,Parent,Private,32,2641980,5084,2016.0,CHINA               ,3.0,4,8982732,79259,49140,5.5,5.5,5.5,5.5,5.5,5.5
728894728,CHINA               ,Branch,Private,0,2774,4724,2016.0,CHINA               ,3.0,74,6963,105,65,5.5,5.5,5.5,0.0,0.0,0.0
547943215,CHINA               ,Subsidiary,Private,11,40933298,6512,2001.0,CHINA               ,3.0,678,144494542,3356530,2081048,5.5,5.5,5.5,5.5,5.5,5.5
728795826,CHINA               ,Parent,Private,0,6845375,1542,2014.0,CHINA               ,3.0,2,20878394,171134,106103,5.5,5.5,5.5,0.0,0.0,0.0
728807461,CHINA               ,Branch,Private,4,0,6282,2016.0,CHINA               ,3.0,4,0,0,0,5.5,5.5,5.5,5.5,5.5,5.5
728800435,CHINA               ,Subsidiary,Private,29,1277334,7371,2019.0,CHINA               ,3.0,8,6182297,114960,71275,30.5,5.5,0.0,5.5,5.5,5.5
728892768,CHINA               ,Branch,Private,20,0,6519,2019.0,CHINA               ,3.0,6,0,0,0,5.5,5.5,5.5,5.5,5.5,5.5
728769169,CHINA               ,Branch,Private,0,0,8641,2012.0,CHINA               ,3.0,74,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
728766629,CHINA               ,Parent,Unknown,207,1997260,8741,2015.0,CHINA               ,3.0,17,6730766,161778,100302,300.5,5.5,0.0,30.5,0.0,125.5
728870821,CHINA               ,Subsidiary,Unknown,27,2696301,8741,2019.0,CHINA               ,3.0,17,9086534,218400,135408,30.5,5.5,5.5,5.5,5.5,5.5
728813682,CHINA               ,Branch,Private,0,0,5431,2013.0,CHINA               ,3.0,10,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
639578916,CHINA               ,Branch,Private,0,0,5541,2023.0,CHINA               ,3.0,2,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
728835365,CHINA               ,Branch,Private,0,0,4215,2017.0,CHINA               ,3.0,29,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
728823714,CHINA               ,Branch,Private,0,0,7342,2012.0,CHINA               ,3.0,2,0,0,0,5.5,5.5,5.5,0.0,5.5,5.5
728793801,CHINA               ,Branch,Private,0,0,7353,2011.0,CHINA               ,3.0,4,0,0,0,5.5,5.5,5.5,0.0,5.5,5.5
728793930,CHINA               ,Parent,Private,0,1929060,5141,2009.0,CHINA               ,3.0,4,4514000,57872,35880,5.5,5.5,5.5,0.0,0.0,0.0
728855074,CHINA               ,Branch,Unknown,0,0,8741,2016.0,CHINA               ,3.0,143,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
728795515,CHINA               ,Parent,Private,0,13738494,5051,2019.0,CHINA               ,3.0,2,46710880,398416,247017,5.5,5.5,5.5,0.0,0.0,0.0
638124480,CHINA               ,Subsidiary,Private,75,3201525,3613,2022.0,CHINA               ,3.0,3,11909673,115255,71458,30.5,5.5,5.5,5.5,5.5,5.5
547783919,CHINA               ,Parent,Private,0,770590,5063,2003.0,CHINA               ,3.0,2,2620006,23118,14333,5.5,5.5,5.5,0.0,0.0,0.0
728841605,CHINA               ,Parent,Private,2,128100,5999,2016.0,CHINA               ,13.0,2,308721,3843,2382,5.5,5.5,5.5,5.5,0.0,0.0
728863659,CHINA               ,Branch,Private,0,0,5999,2016.0,CHINA               ,3.0,5,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
728767909,CHINA               ,Parent,Private,4,414869,5912,2019.0,CHINA               ,13.0,3,1178228,12446,7716,5.5,5.5,5.5,5.5,5.5,5.5
639587379,CHINA               ,Subsidiary,Private,25,5011900,5142,2023.0,CHINA               ,3.0,2,11727846,150357,93221,5.5,5.5,5.5,5.5,5.5,5.5
728875713,CHINA               ,Branch,Private,0,0,5051,2018.0,CHINA               ,3.0,2,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
638021199,CHINA               ,Branch,Private,0,0,5099,2022.0,CHINA               ,3.0,1961,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
638012692,CHINA               ,Branch,Private,0,0,5099,2022.0,CHINA               ,3.0,1961,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
638005214,CHINA               ,Branch,Private,0,0,5099,2022.0,CHINA               ,3.0,1961,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
638058076,CHINA               ,Subsidiary,Private,11,2099812,5099,,CHINA               ,0.0,2,7139361,62994,39056,5.5,5.5,5.5,5.5,5.5,5.5
639560396,CHINA               ,Subsidiary,Unknown,15,443445,8748,2023.0,CHINA               ,3.0,2,2549809,31041,19245,5.5,5.5,5.5,5.5,5.5,5.5
639592011,CHINA               ,Parent,Private,1,0,9999,2023.0,CHINA               ,3.0,2,0,0,0,5.5,5.5,5.5,5.5,5.5,5.5
638032790,CHINA               ,Parent,Private,0,0,9999,2023.0,CHINA               ,3.0,2,0,0,0,5.5,5.5,5.5,0.0,5.5,5.5
547803556,CHINA               ,Parent,Unknown,12,80803,8211,,CHINA               ,3.0,2,243217,3636,2254,5.5,5.5,5.5,5.5,5.5,5.5
638125280,CHINA               ,Subsidiary,Unknown,0,0,9999,2022.0,CHINA               ,3.0,17,0,0,0,5.5,5.5,5.5,0.0,5.5,5.5
547875505,CHINA               ,Subsidiary,Private,0,517593000,5012,1997.0,VIRGIN ISLANDS UK   ,3.0,52,1759816200,9834267,6097245,5.5,5.5,5.5,0.0,0.0,0.0
547880943,CHINA               ,Subsidiary,Private,230,3330398,7539,2001.0,VIRGIN ISLANDS UK   ,120.0,52,13654632,269762,167252,300.5,5.5,0.0,30.5,0.0,125.5
547774130,CHINA               ,Parent,Private,0,100315,7929,2001.0,CHINA               ,3.0,2,319002,7022,4353,5.5,5.5,5.5,0.0,5.5,5.5
639560305,CHINA               ,Subsidiary,Private,14,2684640,7359,2023.0,CHINA               ,3.0,7,10094246,217456,134822,5.5,5.5,5.5,5.5,5.5,5.5
639598642,CHINA               ,Subsidiary,Private,41,2005515,7373,,CHINA               ,0.0,130,9706693,180496,111907,30.5,5.5,5.5,5.5,5.5,5.5
547841689,CHINA               ,Branch,Private,98,0,5065,1998.0,CHINA               ,3.0,272,0,0,0,5.5,5.5,5.5,5.5,5.5,5.5
638017733,CHINA               ,Parent,Private,0,660690,7371,2023.0,CHINA               ,3.0,2,3197740,72676,45059,5.5,5.5,5.5,0.0,5.5,5.5
547789402,CHINA               ,Parent,Private,61,1653839,3241,1998.0,CHINA               ,3.0,2,5589976,59538,36913,30.5,5.5,5.5,5.5,5.5,5.5
547789686,CHINA               ,Parent,Private,22,879000,6512,2002.0,CHINA               ,3.0,3,3102870,72078,44688,5.5,5.5,5.5,5.5,5.5,5.5
638026495,CHINA               ,Branch,Private,0,0,8093,2023.0,CHINA               ,3.0,2,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
547814454,CHINA               ,Branch,Unknown,15,0,8748,,CHINA               ,0.0,142,0,0,0,5.5,5.5,5.5,5.5,5.5,5.5
547776287,CHINA               ,Parent,Private,0,1532916,5921,1996.0,CHINA               ,3.0,3,5334548,33724,20908,5.5,5.5,5.5,0.0,0.0,0.0
639541376,CHINA               ,Branch,Private,0,0,1799,2023.0,CHINA               ,3.0,3,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
639644214,CHINA               ,Subsidiary,Unknown,10,846967,8742,,CHINA               ,0.0,12,2854279,59288,36758,5.5,5.5,5.5,5.5,5.5,5.5
547854759,CHINA               ,Subsidiary,Private,60,1562130,5921,2006.0,CHINA               ,3.0,18,5436212,34367,21307,30.5,5.5,5.5,5.5,5.5,5.5
547752741,CHINA               ,Subsidiary,Private,879,10887270,7699,1992.0,CHINA               ,3.0,45,28524647,892756,553508,75.5,0.0,0.0,75.5,125.5,350.5
639599858,CHINA               ,Subsidiary,Private,25,5330800,5082,2021.0,CHINA               ,3.0,11,18124720,159924,99152,5.5,5.5,5.5,5.5,5.5,5.5
728815693,CHINA               ,Branch,Private,5,0,6331,2013.0,CHINA               ,3.0,597,0,0,0,5.5,5.5,5.5,5.5,5.5,5.5
728840429,CHINA               ,Branch,Private,5,0,6331,2013.0,CHINA               ,3.0,597,0,0,0,5.5,5.5,5.5,5.5,5.5,5.5
728854032,CHINA               ,Branch,Private,2,0,6331,2015.0,CHINA               ,3.0,597,0,0,0,5.5,5.5,5.5,5.5,5.5,5.5
639617426,CHINA               ,Branch,Unknown,0,0,9999,,HONG KONG           ,0.0,43,0,0,0,5.5,5.5,5.5,0.0,5.5,5.5
638108699,CHINA               ,Subsidiary,Unknown,11,846967,8742,2022.0,CHINA               ,3.0,701,2854279,59288,36758,5.5,5.5,5.5,5.5,5.5,5.5
639576306,CHINA               ,Subsidiary,Unknown,27,2696301,8741,2023.0,CHINA               ,3.0,37,9086534,218400,135408,30.5,5.5,5.5,5.5,5.5,5.5
639552760,CHINA               ,Subsidiary,Unknown,1,846967,8742,2023.0,CHINA               ,3.0,4,2854279,59288,36758,5.5,5.5,5.5,5.5,0.0,0.0
638071458,CHINA               ,Parent,Private,0,660690,7371,,CHINA               ,0.0,2,3197740,72676,45059,5.5,5.5,5.5,0.0,5.5,5.5
638021077,CHINA               ,Branch,Private,0,0,6531,2023.0,CHINA               ,3.0,15,0,0,0,5.5,5.5,5.5,0.0,5.5,5.5
638006019,CHINA               ,Branch,Private,0,0,6531,2023.0,CHINA               ,3.0,15,0,0,0,5.5,5.5,5.5,0.0,5.5,5.5
639539148,CHINA               ,Subsidiary,Private,29,1277334,7371,2023.0,CHINA               ,3.0,116,6182297,114960,71275,30.5,5.5,0.0,5.5,5.5,5.5
638157731,CHINA               ,Branch,Private,0,0,6552,2022.0,CHINA               ,3.0,2,0,0,0,5.5,5.5,5.5,0.0,5.5,5.5
728777067,CHINA               ,Parent,Private,0,359130,173,2016.0,CHINA               ,3.0,2,0,13647,8461,0.0,0.0,0.0,0.0,0.0,0.0
728825546,CHINA               ,Subsidiary,Private,15,437340,5812,2013.0,CHINA               ,0.0,2,1110844,7872,4880,5.5,5.5,5.5,5.5,5.5,5.5
728888072,CHINA               ,Subsidiary,Private,25,1379300,7389,2019.0,CHINA               ,3.0,5,6675812,111723,69268,30.5,5.5,5.5,5.5,5.5,5.5
639598362,CHINA               ,Subsidiary,Private,25,1379300,7389,2023.0,CHINA               ,3.0,3,6675812,111723,69268,30.5,5.5,5.5,5.5,5.5,5.5
547750145,CHINA               ,Parent,Private,10,5421,7371,2007.0,CHINA               ,3.0,3,26238,596,369,5.5,5.5,5.5,5.5,5.5,5.5
639531527,CHINA               ,Branch,Private,1,0,5047,2023.0,CHINA               ,3.0,16,0,0,0,5.5,5.5,5.5,5.5,0.0,0.0
638133698,CHINA               ,Subsidiary,Private,20,1704580,5112,2022.0,CHINA               ,3.0,32,3988717,51137,31704,5.5,5.5,5.5,5.5,5.5,5.5
638174497,CHINA               ,Subsidiary,Unknown,27,2696301,8741,2023.0,CHINA               ,3.0,3,9086534,218400,135408,30.5,5.5,5.5,5.5,5.5,5.5
639643983,CHINA               ,Parent,Unknown,0,147815,8748,,CHINA               ,0.0,2,849936,10347,6415,5.5,5.5,5.5,0.0,0.0,0.0
547802935,CHINA               ,Subsidiary,Private,11,437806,6512,2004.0,CHINA               ,3.0,4,1545455,35900,22258,5.5,5.5,5.5,5.5,5.5,5.5
547919777,CHINA               ,Parent,Private,10,366250,5983,2004.0,CHINA               ,3.0,15,882662,10988,6812,5.5,5.5,5.5,5.5,5.5,5.5
547890024,CHINA               ,Subsidiary,Unknown,51,8336460,9199,1961.0,CHINA               ,0.0,7,0,483515,299779,30.5,5.5,5.5,5.5,5.5,5.5
547891815,CHINA               ,Subsidiary,Private,12,1306017,5146,1989.0,CHINA               ,3.0,12,3056080,39181,24292,5.5,5.5,5.5,5.5,5.5,5.5
638002911,CHINA               ,Subsidiary,Private,14,2684640,7359,2006.0,CHINA               ,3.0,2,10094246,217456,134822,5.5,5.5,5.5,5.5,5.5,5.5
547851467,CHINA               ,Subsidiary,Private,178,5895716,1222,2004.0,CHINA               ,3.0,7,0,165080,102349,30.5,5.5,0.0,30.5,5.5,5.5
638005370,CHINA               ,Parent,Private,0,1342320,7359,2022.0,CHINA               ,3.0,3,5047123,108728,67411,5.5,5.5,5.5,0.0,5.5,5.5
639573685,CHINA               ,Branch,Private,0,0,8748,2023.0,CHINA               ,3.0,13,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
547758486,CHINA               ,Subsidiary,Private,0,34281,7999,2002.0,CHINA               ,3.0,84,116213,2400,1488,5.5,5.5,5.5,0.0,5.5,5.5
639552195,CHINA               ,Subsidiary,Private,45,2124810,2099,2023.0,CHINA               ,3.0,2,7288098,76493,47425,30.5,5.5,5.5,5.5,5.5,5.5
639668432,CHINA               ,Branch,Private,1,0,5912,2023.0,CHINA               ,3.0,16,0,0,0,5.5,5.5,5.5,5.5,0.0,0.0
638066478,CHINA               ,Subsidiary,Private,139,3081820,3269,2023.0,CHINA               ,3.0,6,10416552,110946,68786,75.5,5.5,0.0,30.5,5.5,0.0
639589421,CHINA               ,Branch,Private,1,0,5912,2023.0,CHINA               ,3.0,16,0,0,0,5.5,5.5,5.5,5.5,0.0,0.0
639599189,CHINA               ,Branch,Private,1,0,5912,2023.0,CHINA               ,3.0,65,0,0,0,5.5,5.5,5.5,5.5,0.0,0.0
638031135,CHINA               ,Branch,Private,0,0,3592,2023.0,CHINA               ,3.0,6,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
638068941,CHINA               ,Branch,Private,0,0,4813,,CHINA               ,0.0,14,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
728780884,CHINA               ,Branch,Private,0,0,1521,2017.0,CHINA               ,3.0,11,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
638158679,CHINA               ,Branch,Private,0,0,5912,2022.0,CHINA               ,3.0,73,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
728830646,CHINA               ,Subsidiary,Private,1,7026880,6552,2018.0,CHINA               ,3.0,12,24804886,569177,352889,5.5,5.5,5.5,5.5,5.5,5.5
547769232,CHINA               ,Parent,Private,90,8498700,3357,1998.0,CHINA               ,3.0,2,0,305953,189690,30.5,5.5,5.5,5.5,5.5,5.5
547829309,CHINA               ,Parent,Unknown,112,71272,8062,2016.0,CHINA               ,101.0,2,228070,7840,4860,75.5,0.0,5.5,30.5,0.0,125.5
639571216,CHINA               ,Subsidiary,Unknown,0,0,9999,2023.0,CHINA               ,3.0,231,0,0,0,5.5,5.5,5.5,0.0,5.5,5.5
547768028,CHINA               ,Parent,Private,0,208055672,1522,1951.0,CHINA               ,3.0,10,634569800,3953058,2450895,5.5,5.5,5.5,0.0,0.0,0.0
547905435,CHINA               ,Parent,Private,8,19922287,2048,1996.0,CHINA               ,3.0,3,68333444,557824,345850,5.5,5.5,5.5,5.5,5.5,5.5
547744839,CHINA               ,Parent,Unknown,85,80803,8211,2018.0,CHINA               ,101.0,2,243217,3636,2254,30.5,5.5,5.5,5.5,5.5,5.5
547915371,CHINA               ,Parent,Private,0,14921200,3535,1998.0,CHINA               ,3.0,2,59834012,417794,259032,5.5,5.5,5.5,0.0,0.0,0.0
638103706,CHINA               ,Subsidiary,Private,20,2143260,5032,2022.0,CHINA               ,3.0,24,7287084,64298,39864,5.5,5.5,5.5,5.5,5.5,5.5
547762785,CHINA               ,Subsidiary,Unknown,2,77952,8999,2004.0,CHINA               ,3.0,2,0,5457,3383,5.5,5.5,5.5,5.5,0.0,0.0
639623710,CHINA               ,Branch,Private,1,0,1522,2022.0,CHINA               ,3.0,6,0,0,0,5.5,5.5,5.5,5.5,0.0,0.0
638076777,CHINA               ,Subsidiary,Private,24,662160,7363,2023.0,CHINA               ,3.0,7,3204854,46351,28737,30.5,5.5,5.5,5.5,5.5,5.5
637969836,CHINA               ,Parent,Private,0,971469,8093,2023.0,CHINA               ,3.0,2,3108701,106862,66254,5.5,5.5,5.5,0.0,0.0,0.0
638030904,CHINA               ,Subsidiary,Private,25,1379300,7389,2023.0,CHINA               ,3.0,2,6675812,111723,69268,30.5,5.5,5.5,5.5,5.5,5.5
637985440,CHINA               ,Parent,Private,0,3298980,1522,2023.0,CHINA               ,3.0,2,10061889,82474,51133,5.5,5.5,5.5,0.0,0.0,0.0
547924001,CHINA               ,Parent,Private,7,22515141,5511,1999.0,CHINA               ,3.0,2,78127539,405273,251269,5.5,5.5,5.5,5.5,5.5,5.5
639512589,CHINA               ,Branch,Private,1,0,5912,2023.0,CHINA               ,3.0,244,0,0,0,5.5,5.5,5.5,5.5,0.0,0.0
547942680,CHINA               ,Parent,Private,32,29583785,3499,1998.0,CHINA               ,3.0,2,109755842,828346,513574,30.5,5.5,5.5,5.5,5.5,5.5
637953466,CHINA               ,Branch,Private,0,0,5912,2023.0,CHINA               ,3.0,3507,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
639642668,CHINA               ,Subsidiary,Unknown,1,0,9999,2022.0,CHINA               ,3.0,4,0,0,0,5.5,5.5,5.5,5.5,5.5,5.5
638099729,CHINA               ,Subsidiary,Private,41,2005515,7373,2022.0,CHINA               ,3.0,51,9706693,180496,111907,30.5,5.5,5.5,5.5,5.5,5.5
639580843,CHINA               ,Branch,Private,0,0,7389,2023.0,CHINA               ,3.0,2,0,0,0,5.5,5.5,5.5,0.0,5.5,5.5
547790920,CHINA               ,Parent,Unknown,0,3215704,8741,2003.0,CHINA               ,3.0,2,10836922,260472,161492,5.5,5.5,5.5,0.0,0.0,0.0
637956200,CHINA               ,Subsidiary,Private,20,1889120,4725,2023.0,CHINA               ,3.0,70,4741691,54784,33966,5.5,5.5,5.5,5.5,5.5,5.5
639622150,CHINA               ,Subsidiary,Unknown,27,2696301,8741,2023.0,CHINA               ,3.0,4,9086534,218400,135408,30.5,5.5,5.5,5.5,5.5,5.5
547790058,CHINA               ,Subsidiary,Private,25,1476867,1799,2005.0,CHINA               ,3.0,5,4519213,36922,22891,5.5,5.5,5.5,5.5,5.5,5.5
638089406,CHINA               ,Subsidiary,Private,20,2143260,5032,2023.0,CHINA               ,3.0,2,7287084,64298,39864,5.5,5.5,5.5,5.5,5.5,5.5
547790138,CHINA               ,Branch,Private,2,0,4923,2005.0,CHINA               ,3.0,16,0,0,0,5.5,5.5,5.5,5.5,0.0,0.0
547788736,CHINA               ,Parent,Private,78,1801071,5511,1997.0,CHINA               ,3.0,11,6249716,32419,20099,30.5,5.5,5.5,5.5,5.5,5.5
547789638,CHINA               ,Parent,Private,4,1801657,5051,2002.0,CHINA               ,3.0,2,6125634,54050,33511,5.5,5.5,5.5,5.5,5.5,5.5
639623163,CHINA               ,Subsidiary,Private,2,2099812,5099,2023.0,CHINA               ,3.0,12,7139361,62994,39056,5.5,5.5,5.5,5.5,0.0,0.0
547729881,CHINA               ,Subsidiary,Private,160,12771003,2821,2008.0,CHINA               ,3.0,8,57086383,357588,221704,300.5,5.5,0.0,30.5,5.5,0.0
637994010,CHINA               ,Branch,Unknown,0,0,9999,,CHINA               ,0.0,2,0,0,0,5.5,5.5,5.5,0.0,5.5,5.5
547789590,CHINA               ,Parent,Private,0,226782,3052,2000.0,CHINA               ,3.0,2,0,8391,5202,5.5,5.5,5.5,0.0,0.0,0.0
547788957,CHINA               ,Branch,Private,10,597720,6512,2007.0,CHINA               ,3.0,3,2109952,49013,30388,5.5,5.5,5.5,5.5,5.5,5.5
637952548,CHINA               ,Branch,Private,0,0,5912,2023.0,CHINA               ,3.0,10,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
639591785,CHINA               ,Subsidiary,Unknown,0,0,9999,2023.0,CHINA               ,3.0,2,0,0,0,5.5,5.5,5.5,0.0,5.5,5.5
637996057,CHINA               ,Branch,Private,0,0,5912,2023.0,CHINA               ,3.0,90,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
638015055,CHINA               ,Branch,Private,0,0,9999,2023.0,CHINA               ,3.0,5,0,0,0,5.5,5.5,5.5,0.0,5.5,5.5
637996226,CHINA               ,Branch,Private,0,0,4724,2023.0,CHINA               ,3.0,5,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
547884311,CHINA               ,Subsidiary,Private,51,3859982,2899,2007.0,CHINA               ,3.0,2,17254120,138959,86154,30.5,5.5,5.5,5.5,5.5,5.5
